# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
0, 50, 14.4092, 6.44274e-05, 1.10168, 0.0147466, 34.6161, 0.720459, 703.589, 0.00271295, -7.02251, 0.0461867, 5.76871
0, 51, 10.7721, 2.97497e-05, 1.38596, 0.04189, 7.08663, 0.311169, 730.958, 0.00360689, -8.82479, 0.10125, 7.71894
0, 52, 11.3116, 0.000121739, 0.761407, 0.0252934, 26.3717, 1.33086, 730.042, 0.00398721, -9.18121, 0.0691083, 5.73452
1, 52, 13.5521, 4.10072e-05, 1.06906, 0.0324708, 9.71971, 0.434543, 710.207, 0.00348789, -6.22672, 0.102733, 6.78615
2, 52, 13.2554, 3.1326e-05, 1.47505, 0.0180562, 18.4218, 0.33509, 712.729, 0.00219918, -7.37608, 0.041217, 7.74938
3, 52, 15.0411, 1.91089e-05, 1.17147, 0.069286, 1.90194, 0.167474, 699.375, 0.00892942, -8.4366, 1.68135, 7.81548
4, 52, 12.3367, 1.1792e-05, 1.83654, 0.0832979, 1.76466, 0.118872, 720.112, 0.00907103, -14.1205, 1.70411, 14.8776
5, 52, 14.9932, 2.84307e-05, 2.7789, 0.0832014, 6.83452, 0.307758, 699.672, 0.0114758, -5.16698, 0.704144, 21.0355
0, 53, 10.3149, 2.43413e-05, 0.675608, 0.0283837, 4.18101, 0.254788, 738.775, 0.00233197, -8.80705, 0.102117, 6.05588
0, 54, 13.0847, 7.67107e-05, 1.20922, 0.0316771, 21.0778, 0.826522, 708.892, 0.00423265, -9.93627, 0.0773535, 8.45489
0, 55, 9.18325, 1.67476e-05, 0.357877, 0.0232948, 2.03542, 0.192196, 745.746, 0.00145712, -8.00487, 0.0971855, 6.57325
1, 55, 10.9403, 2.36908e-05, 0.975351, 0.0260023, 6.39737, 0.25175, 731.694, 0.00290403, -8.84621, 0.138256, 8.91279
2, 55, 10.0452, 3.24651e-05, 1.81325, 0.0354469, 11.9553, 0.34602, 739.616, 0.00411363, -7.82698, 0.111303, 12.475
3, 55, 13.3671, 2.90321e-05, 2.06909, 0.0629283, 6.87187, 0.309509, 706.242, 0.00731432, -6.16499, 0.346793, 14.6755
0, 56, 12.1496, 0.000132597, 0.395025, 0.0142526, 26.438, 1.4685, 714.868, 0.00271926, -9.59459, 0.0497678, 5.38268
1, 56, 14.8813, 6.52486e-05, 1.13345, 0.441352, 1.62486, 0.877499, 690.276, 0.0200437, -4.18039, 0.708621, 5.62922
2, 56, 14.8813, 1.83239e-05, 1.10278, 0.0965185, 1.8333, 0.234166, 690.299, 0.00755393, -2.47805, 0.974497, 6.25584
3, 56, 12.8032, 3.83998e-05, 0.688735, 0.0278953, 6.82518, 0.409244, 708.209, 0.00324586, -8.86842, 0.153203, 6.61398
0, 57, 12.4299, 3.13956e-05, 2.8175, 0.0510575, 12.4717, 0.335282, 713.568, 0.00606828, -8.7175, 0.163739, 12.8386
0, 60, 13.5203, 7.33445e-05, 1.63823, 0.0528191, 16.3746, 0.788944, 704.163, 0.00683614, -6.558, 0.158876, 9.46715
0, 61, 14.5627, 6.05972e-05, 0.509127, 0.0154515, 14.3723, 0.651935, 695.188, 0.0020418, -6.90534, 0.0531985, 5.21557
1, 61, 10.5457, 5.67096e-05, 0.922568, 0.084796, 4.44567, 0.601401, 728.476, 0.00903101, -0.55894, 0.57839, 5.5918
2, 61, 10.5863, 0.000252056, 0.825356, 0.0503278, 29.7398, 2.78129, 728.155, 0.00839749, -6.39434, 0.146078, 5.97129
3, 61, 15.2055, 3.1529e-05, 0.914052, 0.0119464, 17.3645, 0.339109, 691.319, 0.00154587, -4.11035, 0.0337871, 8.16513
4, 61, 14.8649, 8.1538e-06, 1.19803, 0.0205025, 3.4836, 0.08787, 693.21, 0.00209289, -3.82477, 0.1615, 8.38966
0, 62, 12.922, 1.73082e-05, 0.901878, 0.0516951, 1.14317, 0.0965565, 708.524, 0.00429866, -10.4587, 0.830126, 5.52442
0, 63, 15.7381, 0.000107875, 0.620441, 0.0402031, 11.9799, 1.18009, 687.56, 0.00614197, -4.58828, 0.245258, 10.1634
0, 64, 12.7652, 0.000164574, 0.433682, 0.0281259, 18.2673, 1.75968, 707.129, 0.00357846, -6.97009, 0.0639329, 6.34495
0, 65, 14.6785, 5.3993e-06, 0.872185, 0.0862338, 1.13637, 0.122909, 694.702, 0.00235888, -5.13277, 0.447907, 6.0062
1, 65, 15.4137, 2.85824e-05, 1.45626, 0.0229834, 13.0352, 0.308509, 690.865, 0.0030795, -3.44692, 0.0949702, 13.2542
2, 65, 11.9944, 2.33381e-05, 3.63181, 0.0297793, 20.4876, 0.251053, 715.14, 0.0038521, -8.77087, 0.0716928, 13.807
3, 65, 13.5345, 1.25573e-05, 8.88687, 0.239638, 3.27531, 0.131653, 702.249, 0.0325301, -6.02274, 4.01762, 29.3165
0, 66, 15.7821, 9.85396e-05, 0.329099, 0.0160063, 14.586, 1.04315, 687.529, 0.00173862, -4.15175, 0.0325087, 5.01041
1, 66, 14.2225, 0.000270978, 0.166872, 0.0205473, 15.8431, 2.87842, 696.161, 0.00296201, -6.98973, 0.0434952, 5.47588
0, 68, 15.6232, 2.82986e-05, 0.749233, 0.0218525, 6.98513, 0.299075, 691.763, 0.00225518, -5.14692, 0.086871, 5.1863
0, 69, 11.0093, 7.34082e-05, 1.33852, 0.039329, 17.9808, 0.797237, 720.038, 0.00563373, -8.19058, 0.136589, 5.77155
1, 69, 15.1965, 3.96804e-05, 0.919564, 0.0323045, 8.13105, 0.424047, 690.234, 0.00387163, -4.37248, 0.162292, 9.32437
2, 69, 14.5602, 1.5479e-05, 1.55436, 0.0803643, 2.31453, 0.182615, 693.979, 0.0106347, 4.80008, 1.94336, 10.6413
0, 71, 11.3256, 3.78236e-05, 1.82094, 0.0517425, 9.58231, 0.403498, 721.486, 0.00607435, -9.93057, 0.208842, 6.58682
1, 71, 14.6478, 5.31058e-05, 0.813346, 0.00940917, 33.0192, 0.591257, 695.227, 0.00169338, -6.94181, 0.0287791, 6.81807
0, 72, 13.9329, 9.57751e-05, 0.730613, 0.0198762, 25.3356, 1.04408, 699.93, 0.00304247, -8.48822, 0.0532292, 5.19046
1, 72, 12.7438, 1.1605e-05, 3.83326, 0.028077, 11.4052, 0.124335, 708.969, 0.00346599, -5.26937, 0.108509, 12.5234
0, 73, 11.7611, 6.02605e-05, 0.948631, 0.0283104, 14.5369, 0.637839, 714.979, 0.00301282, -7.02013, 0.0574017, 6.64176
0, 74, 15.2343, 9.12733e-06, 1.08888, 0.0535865, 1.91401, 0.138416, 694.258, 0.00411724, -4.43135, 0.527254, 6.87579
0, 76, 14.2362, 1.03299e-05, 1.55789, 0.0539196, 2.46331, 0.131832, 696.42, 0.00729109, -9.27747, 1.31563, 7.46571
1, 76, 14.1415, 2.76828e-05, 2.57403, 0.0359229, 14.28, 0.29407, 697.143, 0.00399042, -8.94254, 0.0845521, 12.3693
0, 78, 9.41062, 5.87854e-05, 0.576801, 0.0304872, 8.00749, 0.613711, 726.712, 0.00256196, -8.19647, 0.0585399, 5.47287
1, 78, 14.7853, 1.62658e-05, 1.45957, 0.0379461, 4.49896, 0.17212, 697.727, 0.00407544, -2.04741, 0.260666, 9.23398
