# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
391, 9.19642, 0.919772, 0.0649006, 3.66532, 0.377101, 7.5005, 0.670136, 27.4917, 3.74611
392, 11.4326, 0.673781, 0.0438485, 19.7169, 2.77671, 8.219, 1.29728, 162.053, 34.2795
392, 12.1319, 1.01889, 0.12032, 2.37031, 0.421665, 7.339, 0.644932, 17.3957, 3.45158
392, 11.4326, 0.691255, 0.0479379, 20.7239, 2.99954, 9.4245, 2.6546, 195.312, 61.8518
392, 14.8263, 1.03768, 0.0256801, 22.4899, 1.13854, 5.662, 1.87846, 127.338, 42.7353
392, 11.4327, 0.741473, 0.0502709, 23.4212, 3.21065, 10.438, 3.04971, 244.47, 78.899
392, 11.4327, 0.775084, 0.0267882, 56.8064, 2.91431, 15.7055, 3.47967, 892.173, 202.897
392, 13.3248, 1.19778, 0.0715595, 2.47653, 0.218496, 10.926, 0.459607, 27.0586, 2.64475
392, 14.8261, 1.05818, 0.0221546, 40.4502, 1.26299, 5.927, 2.30545, 239.748, 93.5557
393, 12.9299, 1.48853, 0.21286, 1.39467, 0.254336, 8.806, 0.898457, 12.2815, 2.56638
393, 13.2316, 0.646857, 0.0233285, 49.1583, 2.85504, 5.441, 1.81026, 267.47, 90.3349
394, 12.8517, 0.870094, 0.0739366, 2.8219, 0.350351, 10.37, 0.461089, 29.2631, 3.8591
394, 14.6694, 0.961356, 0.0400686, 10.8516, 0.671502, 8.1155, 0.49593, 88.0662, 7.65897
394, 13.0277, 1.66307, 0.142533, 1.31683, 0.153123, 13.8595, 0.696082, 18.2506, 2.3117
394, 11.3445, 1.50513, 0.0933159, 3.46154, 0.316645, 14.227, 3.5197, 49.2473, 12.9898
394, 10.9624, 2.65742, 0.0949836, 3.75592, 0.197948, 9.387, 1.54191, 35.2568, 6.08207
395, 14.4133, 1.55204, 0.0500783, 22.8794, 1.50092, 12.2875, 2.82881, 281.131, 67.2977
395, 14.4133, 1.53475, 0.0492245, 21.8943, 1.50193, 12.272, 2.82881, 268.687, 64.6192
395, 14.4134, 2.16264, 0.0263994, 52.4483, 0.945427, 8.321, 1.58935, 436.422, 83.7291
395, 12.6377, 1.34284, 0.059448, 2.65586, 0.170225, 9.178, 0.452194, 24.3755, 1.97058
395, 11.6186, 1.7009, 0.0659538, 4.4952, 0.256478, 11.179, 1.30024, 50.2518, 6.51022
397, 13.3931, 1.06708, 0.0561322, 4.58468, 0.353106, 7.536, 0.416611, 34.5501, 3.27554
397, 9.64168, 0.359042, 0.0184081, 58.3292, 4.98036, 10.03, 2.50708, 585.042, 154.532
397, 12.6988, 1.95628, 0.188793, 1.63157, 0.227361, 8.431, 1.35362, 13.7558, 2.92438
398, 9.03881, 1.30695, 0.1148, 2.63119, 0.340581, 14.086, 0.787262, 37.0629, 5.22553
399, 12.2148, 1.76353, 0.190708, 3.54957, 0.578403, 8.521, 0.904387, 30.2459, 5.88185
399, 11.2073, 0.49963, 0.0502949, 9.79229, 1.4623, 9.141, 1.10157, 89.5113, 17.1765
399, 11.6623, 1.60702, 0.0455397, 2.08663, 0.0883342, 9.868, 1.33138, 20.5909, 2.91163
399, 12.2148, 1.78346, 0.158051, 3.80053, 0.495529, 8.521, 0.895492, 32.3843, 5.42323
400, 11.5335, 1.07296, 0.062968, 19.6553, 2.47801, 8.057, 0.469985, 158.363, 21.9988
400, 11.5325, 0.952537, 0.0287771, 67.0492, 3.22851, 8.9925, 1.82212, 602.94, 125.574
400, 13.3097, 1.12189, 0.0425836, 3.31715, 0.185206, 11.1695, 1.59083, 37.0509, 5.66801
400, 9.88325, 2.43244, 0.796415, 0.961922, 0.307347, 10.0675, 0.211271, 9.68415, 3.10088
400, 16.4786, 2.00149, 0.0260728, 1.63677, 0.032015, 8.1775, 0.650121, 13.3847, 1.09583
400, 12.0856, 4.29606, 0.137533, 3.7192, 0.176564, 9.1625, 1.12085, 34.0772, 4.47156
401, 10.1974, 2.08926, 0.0848405, 2.30813, 0.140826, 7.657, 0.418094, 17.6734, 1.44706
