_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-1.973 ; 10.841 ; 233 ; 2019-205T02:05:13.425Z ; 1.000
-1.961 ; 14.414 ; 395 ; 2020-006T16:10:04.329Z ; 1.000
-1.958 ; 12.268 ; 210 ; 2019-181T12:29:51.982Z ; 1.000
-1.939 ; 13.814 ; 177 ; 2019-147T16:30:37.238Z ; 1.000
-1.934 ;  9.982 ; 171 ; 2019-141T08:39:10.666Z ; 0.996
-1.934 ; 11.326 ; 071 ; 2019-038T16:32:55.470Z ; 1.000
-1.933 ; 13.552 ; 343 ; 2019-318T05:05:54.883Z ; 1.000
-1.932 ; 10.723 ; 161 ; 2019-131T02:52:43.311Z ; 1.000
-1.920 ; 13.251 ; 046 ; 2019-013T02:02:14.154Z ; 1.000
-1.918 ; 12.336 ; 336 ; 2019-310T23:14:47.819Z ; 1.000
-1.913 ; 14.682 ; 383 ; 2019-359T08:33:22.417Z ; 1.000
-1.901 ; 13.369 ; 265 ; 2019-238T01:39:37.221Z ; 1.000
-1.899 ; 10.411 ; 335 ; 2019-309T20:36:41.821Z ; 1.000
-1.888 ; 11.517 ; 163 ; 2019-133T05:00:06.646Z ; 1.000
-1.883 ; 11.124 ; 360 ; 2019-335T13:46:52.134Z ; 1.000
-1.875 ; 11.474 ; 305 ; 2019-279T01:58:53.055Z ; 1.000
-1.871 ; 14.934 ; 203 ; 2019-174T10:39:29.681Z ; 1.000
-1.870 ; 11.010 ; 069 ; 2019-036T14:54:28.423Z ; 1.000
-1.870 ; 11.475 ; 334 ; 2019-308T21:02:47.354Z ; 1.000
-1.868 ; 14.315 ; 374 ; 2019-350T02:15:50.233Z ; 1.000
-1.859 ; 11.299 ; 305 ; 2019-279T01:48:06.373Z ; 1.000
-1.847 ; 14.952 ; 037 ; 2019-003T21:49:42.910Z ; 0.671
-1.842 ; 10.253 ; 382 ; 2019-358T03:20:55.504Z ; 1.000
-1.837 ; 15.251 ; 327 ; 2019-301T20:19:25.227Z ; 0.999
