# srt_ind, vortex_number, sols, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc, full_Vobs, full_Vobs_unc, full_b, full_b_unc, full_Pact, full_Pact_unc, full_Vact, full_Vact_unc, full_Dact, full_Dact_unc, full_Vobs_sigma
60, 0, 44, 13.2894, 4.13069e-05, 3.1434, 0.0874172, 10.6932, 0.438095, -10.9835, 0.259568, 708.15, 0.00949043, 11.707, inf, 125.185, inf, 5.22655, 45.2484, 32929.3, 1.77429e+11, 3.23725, 1.62767, 15.5755, 3.91562, 123.357, inf, 0.115508
61, 0, 45, 14.4279, 5.41145e-05, 0.735731, 0.0194476, 14.7359, 0.583017, -10.4873, 0.0677997, 686.552, 0.00261643, 7.789, 0.420743, 114.778, 7.68519, 4.2226, 5.49095, -50271.8, 1.66483e+11, 0.79773, 0.162855, 7.88597, 0.804955, 110.228, 1.51857e+14, 0.769012
62, 0, 46, 13.2505, 4.42339e-05, 1.75285, 0.0602565, 9.26326, 0.471138, -14.4141, 0.239115, 695.281, 0.00694874, 7.1815, inf, 66.5241, inf, -8.08826, 13.1245, -23.2085, 26.0313, 1.99842, 0.800798, 12.3183, 2.46806, 62.3028, inf, 0.616274
64, 1, 47, 15.0618, 4.16423e-05, 0.65177, 0.0117314, 16.6552, 0.443308, -7.89299, 0.0254615, 680.058, 0.001378, 6.565, 1.05951, 109.341, 17.8847, -11.7378, 1.0444, -53.4883, 6.36421, 1.98137, 0.260265, 12.4915, 0.820417, 62.7115, 33.0188, 11.2388
65, 0, 49, 12.659, 6.03519e-05, 1.21091, 0.0486031, 10.8235, 0.647788, -5.22954, 0.2085, 709.138, 0.00613411, 7.223, 1.69191, 78.1781, 18.9007, 3.71829, 4.84741, -6.29171, 9.11371, 1.25859, 0.134957, 9.73783, 0.522088, 76.6829, 19.3272, 0.767067
66, 0, 50, 14.4092, 6.44274e-05, 1.10168, 0.0147466, 34.6161, 0.720459, -7.02251, 0.0461867, 703.589, 0.00271295, 4.326, 0.754943, 149.749, 26.3184, -9.09887, 1.27572, -74.0452, 15.2431, 1.46667, 0.105632, 10.5226, 0.378928, 129.785, 34.9951, 7.13234
67, 0, 51, 10.7721, 2.97497e-05, 1.38596, 0.04189, 7.08663, 0.311169, -8.82479, 0.10125, 730.958, 0.00360689, 6.7435, inf, 47.7887, inf, -5.12704, 159.498, -20060.9, 4.05491e+11, 1.4828, 6.0252, 10.3758, 21.0806, 46.2019, inf, 0.032145
68, 0, 52, 11.3116, 0.000121739, 0.761407, 0.0252934, 26.3717, 1.33086, -9.18121, 0.0691083, 730.042, 0.00398721, 3.869, 1.96461, 102.032, 52.0653, -14.4686, 2.49617, -148.999, 61.1074, 14.5136, 10.3429, 32.4471, 11.5615, 23.3699, 811.681, 5.7963
69, 1, 52, 13.5521, 4.10072e-05, 1.06906, 0.0324708, 9.71971, 0.434543, -6.22672, 0.102733, 710.207, 0.00348789, 4.136, inf, 40.2007, inf, -24.5172, 2.3491, -42.8249, 9.59131, -1.20731, 0.438179, nan, nan, nan, nan, 10.4368
70, 2, 52, 13.2554, 3.1326e-05, 1.47505, 0.0180562, 18.4218, 0.33509, -7.37608, 0.041217, 712.729, 0.00219918, 7.62, 1.01735, 140.374, 18.9146, -14.7272, 4.28124, -78.7503, 37.2934, 2.91971, 0.842907, 14.728, 2.12596, 99.7746, 64.6052, 3.43995
72, 2, 55, 10.0452, 3.24651e-05, 1.81325, 0.0354469, 11.9553, 0.34602, -7.82698, 0.111303, 739.616, 0.00411363, 2.907, inf, 34.7541, inf, -2.39021, 17.4487, 3.53708, 24.4045, 1.83339, 0.296297, 11.4652, 0.926457, 34.5627, inf, 0.136985
73, 0, 56, 12.1496, 0.000132597, 0.395025, 0.0142526, 26.438, 1.4685, -9.59459, 0.0497678, 714.868, 0.00271926, 4.721, 1.51081, 124.814, 40.54, -15.8246, 2.05554, -278.773, 173.386, -0.339355, 0.191074, nan, nan, nan, nan, 7.69854
74, 0, 57, 12.4299, 3.13956e-05, 2.8175, 0.0510575, 12.4717, 0.335282, -8.7175, 0.163739, 713.568, 0.00606828, 4.339, 2.90943, 54.1147, 36.3147, -9.75487, 4.97758, -20.5489, 11.8761, 3.18098, 0.376614, 15.3313, 0.907576, 50.9291, 39.7584, 1.95976
75, 0, 60, 13.5203, 7.33445e-05, 1.63823, 0.0528191, 16.3746, 0.788944, -6.558, 0.158876, 704.163, 0.00683614, 8.649, 1.49034, 141.624, 25.3397, -18.2168, 0.769225, -60.7293, 3.9231, 4.94754, 0.556947, 19.3542, 1.08935, 81.4947, 44.4226, 23.682
76, 0, 61, 14.5627, 6.05972e-05, 0.509127, 0.0154515, 14.3723, 0.651935, -6.90534, 0.0531985, 695.188, 0.0020418, 3.535, inf, 50.8061, inf, 1.14195, 2.25087, -5.98511, 15.1844, 0.513458, 0.0232052, 6.24332, 0.14108, 50.5914, inf, 0.507337
77, 2, 61, 10.5863, 0.000252056, 0.825356, 0.0503278, 29.7398, 2.78129, -6.39434, 0.146078, 728.155, 0.00839749, 0.513, 1.38014, 15.2565, 41.0698, 4.33848, 8.90852, 22.4195, 81.2175, 0.895823, 0.295402, 8.05779, 1.32855, 14.6442, 252.334, 0.487003
78, 3, 61, 15.2055, 3.1529e-05, 0.914052, 0.0119464, 17.3645, 0.339109, -4.11035, 0.0337871, 691.319, 0.00154587, 3.906, 0.580146, 67.8257, 10.1606, -0.731998, 7.89936, -15.8278, 55.6296, 0.91581, 0.039795, 8.36139, 0.181665, 67.7606, 27.9075, 0.0926655
79, 0, 63, 15.7381, 0.000107875, 0.620441, 0.0402031, 11.9799, 1.18009, -4.58828, 0.245258, 687.56, 0.00614197, 7.046, 0.622969, 84.4104, 11.173, -0.00709524, 1.51272, -0.671626, 133.233, 0.620441, 0.0402032, 6.96646, 0.225705, 84.4104, 11.3724, 0.00469039
80, 0, 64, 12.7652, 0.000164574, 0.433682, 0.0281259, 18.2673, 1.75968, -6.97009, 0.0639329, 707.129, 0.00357846, 2.4945, inf, 45.5678, inf, -9.80581, 3.62683, -40.1434, 22.8563, 1.59792, 0.942075, 11.0256, 3.25014, 23.7392, inf, 2.70369
81, 1, 65, 15.4137, 2.85824e-05, 1.45626, 0.0229834, 13.0352, 0.308509, -3.44692, 0.0949702, 690.865, 0.0030795, 4.051, 2.90738, 52.8056, 37.9189, -0.00864964, 2.96748, -0.773551, 148.452, 1.45626, 0.022984, 10.6585, 0.0841112, 52.8056, 38.1675, 0.00291481
82, 2, 65, 11.9944, 2.33381e-05, 3.63181, 0.0297793, 20.4876, 0.251053, -8.77087, 0.0716928, 715.14, 0.0038521, 1.4155, 0.0177904, 29.0002, 0.509051, -4.35787, 3.94199, 8.37401, 7.38311, 3.69591, 0.119996, 16.6907, 0.270951, 28.7476, 4.33186, 1.1055
83, 0, 66, 15.7821, 9.85396e-05, 0.329099, 0.0160063, 14.586, 1.04315, -4.15175, 0.0325087, 687.529, 0.00173862, 5.349, 1.9956, 78.0205, 29.6378, -11.0792, 1.88048, -26.5701, 5.8683, -1.7232, 0.823368, nan, nan, nan, nan, 5.8917
84, 1, 66, 14.2225, 0.000270978, 0.166872, 0.0205473, 15.8431, 2.87842, -6.98973, 0.0434952, 696.161, 0.00296201, 3.559, 0.482279, 56.3856, 12.78, -12.5825, 3.63751, -39.133, 17.6176, -0.0807156, 0.143232, nan, nan, nan, nan, 3.45911
85, 0, 68, 15.6232, 2.82986e-05, 0.749233, 0.0218525, 6.98513, 0.299075, -5.14692, 0.086871, 691.763, 0.00225518, 5.665, inf, 39.5708, inf, -4.31506, 43.5876, 7.57303, 59.1032, 0.814458, 1.31796, 7.94896, 6.43154, 37.9532, inf, 0.0989974
86, 0, 69, 11.0093, 7.34082e-05, 1.33852, 0.039329, 17.9808, 0.797237, -8.19058, 0.136589, 720.038, 0.00563373, 3.422, 2.00965, 61.5303, 36.2379, -13.4611, 1.42177, -68.5398, 12.7767, 2.45462, 0.270332, 13.5167, 0.744309, 45.4369, 62.4018, 9.46781
